Filter,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.elevator,RC.throttle,RC.rudder,RC.aileron,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength,
2,10.7,32.82455582,-95.30648906,436,,-0.200000332,5.700009448,-1.400002321,-1.6,-22.4,92.2,5.703516924,1684,970,1024,1024,,49.2126,8.672576,94,7.859,5.083,NW,0.3978656,Calm,
3,10.8,32.82455555,-95.30648258,437,,-0.200000332,5.800009614,-1.100001823,-1.8,-24.1,92.3,5.80345674,1684,914,1024,1024,,50.524936,9.566656,94,7.859,5.083,NW,0.3978656,Calm,
4,10.9,32.82455532,-95.30647657,437,,-0.200000332,5.90000978,-0.70000116,-2.1,-25.4,92.4,5.903398343,1684,1024,1024,1024,,51.509188,10.371328,94,7.859,5.083,NW,0.3978656,Calm,
0,11,32.82455518,-95.30646993,437,,-0.300000497,6.000009946,-0.300000497,-2.6,-26.8,92.5,6.007505018,1684,1024,1024,1024,,51.509188,11.310112,94,7.746,6.174,NW,0.3978656,Calm,
1,11.1,32.82455493,-95.30646396,437,,-0.300000497,6.300010443,-0.100000166,-3.1,-26.8,92.6,6.307149225,1684,1024,1024,1024,,51.509188,12.114784,94,7.746,6.174,NW,0.3978656,Calm,
2,11.2,32.82455477,-95.30645712,437,,-0.300000497,6.60001094,-0.100000166,-2.4,-25.2,92.4,6.606825171,1684,1024,1024,1024,,51.509188,13.053568,94,7.746,6.174,NW,0.3978656,Calm,
3,11.3,32.82455446,-95.30644918,437,,-0.300000497,6.800011272,0,-2.2,-24.7,92.4,6.806625676,1684,1024,1024,1024,,51.509188,14.126464,94,7.746,6.174,NW,0.3978656,Calm,
4,11.4,32.82455444,-95.3064421,437,,-0.300000497,7.000011603,0,-2.3,-24.5,92.3,7.006436909,1684,1024,1024,1024,,51.509188,15.109952,94,7.746,6.174,NW,0.3978656,Calm,
0,11.5,32.82455433,-95.30643404,437,,-0.300000497,7.200011935,0,-2.5,-23.8,92.3,7.206258872,1684,1024,1024,1024,,50.524936,16.227552,94,7.746,6.174,NW,0.3978656,Calm,
1,11.6,32.82455405,-95.30642731,437,,-0.300000497,7.500012432,0,-2.9,-23.3,92.4,7.506009921,1684,1024,1024,1024,,51.509188,17.121632,94,7.746,6.174,NW,0.3978656,Calm,
2,11.7,32.82455369,-95.30641836,437,,-0.300000497,7.700012764,0,-3.1,-23.1,92.4,7.705854682,1684,1024,1024,1024,,51.509188,18.373344,94,7.746,6.174,NW,0.4962144,Calm,
3,11.8,32.82455362,-95.30640959,437,,-0.300000497,7.800012929,0,-3,-22.4,92.3,7.805779745,1684,1024,1024,1024,,51.509188,19.580352,94,7.746,6.174,NW,0.4962144,Calm,
4,11.9,32.82455331,-95.30640149,437,,-0.300000497,8.000013261,0,-2.3,-22,92.3,8.00563613,1684,1024,1024,1024,,51.509188,20.697952,94,7.746,6.174,NW,0.4962144,Calm,
0,12,32.8245533,-95.30639378,437,,-0.300000497,8.200013592,0,-3.2,-22.4,92.3,8.20549922,1684,1024,1024,1024,,51.509188,21.726144,94,7.826,6.174,NW,0.4962144,Calm,
1,12.1,32.82455295,-95.30638448,437,,-0.300000497,8.300013758,0,-3.2,-22.3,92.4,8.305433671,1684,1083,1024,1024,,51.509188,23.02256,94,7.826,6.174,NW,0.4962144,Calm,
2,12.2,32.82455288,-95.30637596,437,,-0.300000497,8.50001409,0,-3.4,-21.5,92.4,8.505306149,1684,1024,1024,1024,,51.509188,24.184864,94,7.826,6.174,NW,0.4962144,Calm,
3,12.3,32.8245525,-95.30636539,437,,-0.300000497,8.600014255,0,-2.7,-20.9,92.1,8.60524507,1684,893,1024,1024,,52.49344,25.615392,94,7.826,6.174,NW,0.4962144,Calm,
4,12.4,32.82455247,-95.30635797,437,,-0.300000497,8.700014421,0,-2,-21.6,92.2,8.705184886,1684,681,1024,1024,,52.49344,26.643584,94,7.826,6.174,NW,0.4962144,Calm,
0,12.5,32.8245521,-95.30634762,437,,-0.300000497,8.800014587,0.100000166,-2.7,-19.6,92.4,8.805126489,1684,778,1024,1024,,52.49344,28.074112,94,7.826,6.174,NW,0.4962144,Calm,
1,12.6,32.82455191,-95.3063368,437,,-0.300000497,8.800014587,0.400000663,-4.2,-4.8,92.1,8.805126489,1684,875,1024,1024,,52.49344,29.549344,94,7.826,6.174,NW,0.4962144,Calm,
2,12.7,32.82455161,-95.30632793,437,,-0.300000497,8.600014255,0.400000663,-3.2,6.4,91.2,8.60524507,1684,979,1024,1024,,52.49344,30.756352,94,7.826,6.174,NW,0.4962144,Calm,
3,12.8,32.82455151,-95.30631986,437,,-0.200000332,8.300013758,0.200000332,-1.8,1.1,91.6,8.302422857,1684,1024,1024,1024,,53.805776,31.873952,94,7.826,6.174,NW,0.4962144,Calm,
4,12.9,32.82455125,-95.30631076,437,,-0.200000332,8.100013427,0.200000332,-1.8,-8.7,91.5,8.102481981,1684,1024,1024,1024,,53.805776,33.125664,94,7.826,6.174,NW,0.4962144,Calm,
