OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.altitude [m],Convert MPH to m/s,OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.roll,OSD.pitch,OSD.yaw,OSD.hSpeed [m/s],RC.aileron,RC.elevator,RC.throttle,RC.rudder,Convert ft to m,OSD.vpsHeight [m],HOME.distance [m],BATTERY.chargeLevel,BATTERY.voltage [V],BATTERY.current [A],WEATHER.windDirection,WEATHER.windSpeed [m/s],WEATHER.windStrength
203.8,32.82505994,-95.30624351,424,,-10.70001774,-0.400000663,-0.100000166,23.8,-4.5,-176.7,10.70749135,1037,1684,1024,1024,,29.855644,685.69556,78,7.709,5.776,NW,3.9965376,Calm
203.9,32.82504943,-95.30624432,424,,-10.60001757,-0.70000116,0,14.4,-17.3,-172.7,10.6231054,1036,1684,1024,1024,,31.16798,674.21262,78,7.709,5.776,NW,3.9965376,Calm
204,32.82504031,-95.30624525,423,,-10.60001757,-1.000001658,0.200000332,14.1,-24.8,-172.1,10.64708284,1035,1684,1002,1167,,31.16798,664.042016,78,7.709,5.776,NW,3.9965376,Calm
204.1,32.82503174,-95.30624635,423,,-10.8000179,-1.400002321,0.100000166,17.2,-26.5,-173.2,10.89038033,1036,1684,905,1188,,31.16798,654.52758,78,7.709,5.776,NW,3.9965376,Calm
204.2,32.82502104,-95.30624836,423,,-11.00001823,-1.900003149,0,19.5,-26.9,-172.9,11.16290307,1035,1684,501,1242,,31.16798,642.388472,78,7.709,5.776,NW,4.0993568,Calm
204.3,32.82501212,-95.30625027,423,,-11.1000184,-2.200003647,0.200000332,20.6,-26.2,-172.2,11.31593648,1035,1684,364,1233,,29.855644,631.889784,78,7.709,5.776,NW,4.0993568,Calm
204.4,32.82500112,-95.30625307,423,,-11.1000184,-2.500004144,0.500000829,22.7,-25.2,-171.9,11.37806789,1035,1684,364,1233,,28.871392,619.094508,78,7.709,5.776,NW,4.0993568,Calm
204.5,32.82499082,-95.30625619,423,,-11.1000184,-2.800004641,0.800001326,21,-23.1,-170.3,11.44772611,1038,1684,1024,1108,,27.88714,606.9554,78,7.709,5.776,NW,4.0993568,Calm
204.6,32.82497976,-95.30625985,423,,-11.1000184,-3.200005304,1.000001658,13.5,-22.5,-167.2,11.55207508,1038,1684,1024,1141,,27.88714,593.503956,78,7.709,5.776,NW,4.0993568,Calm
204.7,32.8249688,-95.3062637,422,,-11.20001857,-3.500005802,0.900001492,5,-22.9,-164.4,11.7341576,1038,1684,1024,1141,,26.902888,580.380596,78,7.709,5.776,NW,4.1977056,Calm
204.8,32.82495894,-95.30626737,422,,-11.50001906,-3.700006133,0.500000829,4.4,-23.3,-163.5,12.08058276,1038,1684,1119,1201,,26.902888,568.241488,78,7.709,5.776,NW,4.1977056,Calm
204.9,32.82494825,-95.3062713,422,,-11.70001939,-3.900006465,0.200000332,8.4,-22.5,-163.9,12.33290331,1038,1684,1161,1176,,26.902888,555.446212,78,7.709,5.776,NW,4.1977056,Calm
205,32.82493772,-95.30627564,422,,-11.80001956,-4.100006796,0,11.2,-19.5,-163.6,12.49201781,1038,1684,1161,1176,,26.902888,542.322852,78,7.709,5.776,NW,4.1977056,Calm
205.1,32.82492678,-95.30628017,422,,-11.80001956,-4.400007293,-0.300000497,8.2,-17.9,-162.2,12.59366979,1038,1684,1294,1024,,27.88714,528.871408,78,7.673,5.776,NW,4.1977056,Calm
205.2,32.82491665,-95.30628481,422,,-11.80001956,-4.600007625,-0.500000829,-2.7,-21.3,-159.7,12.66493288,1038,1684,1136,1034,,27.88714,516.076132,78,7.673,5.776,NW,4.1977056,Calm
205.3,32.82490598,-95.30628948,422,,-11.90001973,-4.600007625,-0.800001326,-4.6,-21.8,-158.5,12.75815547,1038,1684,1024,1024,,28.871392,502.624688,78,7.673,5.959,NW,4.2960544,Calm
205.4,32.8248958,-95.30629413,423,,-12.00001989,-4.500007459,-0.70000116,-2.4,-26.2,-158.6,12.81602659,1025,1684,1195,930,,29.855644,489.829412,78,7.673,5.959,NW,4.2960544,Calm
205.5,32.82488322,-95.30629969,423,,-11.90001973,-4.500007459,-0.200000332,-2.3,-27.7,-158.8,12.7224419,1024,1684,1403,933,,29.855644,474.409464,78,7.673,5.959,NW,4.0993568,Calm
205.6,32.824873,-95.30630435,423,,-12.00001989,-4.600007625,-0.300000497,-5,-22.5,-158.8,12.85147999,1024,1684,1452,1009,,28.871392,461.614188,78,7.673,5.959,NW,3.8981888,Calm
205.7,32.82486272,-95.30630885,423,,-12.30002039,-4.600007625,-1.000001658,-3,-17.7,-159.1,13.13204364,1024,1684,1422,1024,,29.855644,448.818912,78,7.673,5.959,NW,3.6970208,Calm
205.8,32.82485046,-95.30631425,424,,-12.40002055,-4.500007459,-1.500002486,0.3,-17.7,-159.7,13.19130684,1024,1684,1414,1024,,31.16798,433.398964,78,7.673,5.959,NW,3.4958528,Calm
205.9,32.82483901,-95.30631881,424,,-12.40002055,-4.600007625,-1.800002984,0.4,-19.3,-160,13.2257544,1024,1684,1398,1024,,33.136484,419.619436,78,7.673,5.959,N,3.397504,Calm
206,32.82482839,-95.30632352,425,,-12.40002055,-4.600007625,-2.000003315,-0.7,-21.1,-159.7,13.2257544,1024,1684,1396,1024,,35.433072,406.496076,78,7.673,5.959,N,3.2991552,Calm
206.1,32.82481679,-95.30632801,426,,-12.40002055,-4.600007625,-2.000003315,-1.5,-22.8,-159.5,13.2257544,1037,1485,1376,1024,,37.401576,392.716548,78,7.673,5.959,N,3.2991552,Calm
206.2,32.82480559,-95.30633294,426,,-12.50002072,-4.600007625,-2.000003315,-1.9,-23.2,-159.4,13.31955635,1024,1024,1299,1024,,39.698164,378.93702,78,7.612,5.959,N,3.196336,Calm
206.3,32.82479403,-95.30633802,427,,-12.50002072,-4.700007791,-2.000003315,-2.1,-14.3,-159.7,13.3544219,1024,1024,1124,1024,,40.682416,364.829408,78,7.612,5.959,N,3.0979872,Calm
206.4,32.8247834,-95.30634276,427,,-12.30002039,-4.600007625,-2.100003481,-1.8,4.7,-159.8,13.13204364,1024,1024,1082,1024,,42.979004,351.706048,78,7.612,5.959,N,3.0979872,Calm
206.5,32.82477078,-95.30634824,428,,-11.90001973,-4.400007293,-2.100003481,-2.1,13.6,-159.6,12.68741631,1024,1024,1182,1136,,46.259844,336.614184,78,7.612,5.959,N,3.0979872,Calm
206.6,32.82476078,-95.30635262,429,,-11.50001906,-4.200006962,-1.900003149,-1.6,24.9,-160.7,12.24297719,1024,1024,1190,1271,,48.228348,324.475076,78,7.612,5.959,N,3.196336,Calm
206.7,32.82475169,-95.30635687,429,,-10.90001807,-4.00000663,-1.800002984,-0.6,28.7,-159.9,11.61078976,1024,1024,1024,1290,,50.524936,313.32022,78,7.612,5.959,N,3.196336,Calm
206.8,32.82474207,-95.30636113,430,,-10.40001724,-3.800006299,-1.400002321,0.2,31.4,-159.3,11.07250666,1024,1024,1024,1065,,51.509188,301.83728,78,7.612,5.959,N,3.196336,Calm
206.9,32.82473214,-95.30636546,431,,-9.90001641,-3.600005967,-0.900001492,2.5,32.6,-157.5,10.53424726,1024,1024,1024,1031,,51.509188,290.026256,78,7.612,5.959,N,3.196336,Calm
207,32.82472339,-95.30636929,431,,-9.500015747,-3.500005802,-0.400000663,6.6,33.1,-154.2,10.12424497,1024,1024,1024,1028,,51.509188,279.855652,78,7.612,5.959,N,3.2991552,Calm
